iter	Passed	Remaining
0	49	49487
1	49	24910
2	50	16724
3	50	12606
4	50	10130
5	51	8479
6	51	7299
7	51	6414
8	52	5730
9	52	5180
10	52	4733
11	52	4358
12	53	4043
13	53	3776
14	53	3540
15	54	3334
16	54	3166
17	55	3007
18	56	2932
19	57	2800
20	57	2681
21	57	2570
22	58	2465
23	58	2374
24	58	2289
25	58	2209
26	59	2138
27	59	2071
28	60	2014
29	60	1954
30	60	1897
31	60	1844
32	61	1794
33	61	1747
34	61	1703
35	62	1661
36	62	1622
37	62	1584
38	62	1549
39	63	1515
40	63	1483
41	63	1453
42	64	1425
43	64	1396
44	64	1369
45	64	1343
46	65	1319
47	65	1295
48	65	1272
49	65	1251
50	66	1230
51	66	1210
52	66	1190
53	66	1172
54	67	1154
55	67	1137
56	67	1120
57	68	1105
58	68	1091
59	68	1077
60	71	1101
61	71	1088
62	72	1074
63	72	1062
64	72	1050
65	73	1037
66	73	1025
67	73	1013
68	74	1001
69	74	989
70	74	978
71	75	967
72	75	956
73	75	946
74	75	935
75	76	925
76	76	915
77	76	906
78	76	896
79	77	887
80	77	878
81	77	869
82	78	870
83	79	862
84	79	856
85	79	848
86	80	841
87	80	834
88	80	827
89	81	820
90	81	813
91	81	806
92	82	799
93	82	793
94	82	786
95	82	780
96	83	774
97	83	767
98	83	761
99	84	756
100	84	751
101	84	746
102	85	741
103	85	736
104	85	730
105	85	725
106	86	719
107	86	714
108	86	709
109	87	704
110	87	699
111	87	694
112	87	689
113	88	685
114	88	681
115	88	676
116	89	671
117	89	667
118	89	663
119	90	660
120	90	656
121	90	651
122	90	647
123	91	643
124	91	639
125	91	635
126	91	631
127	92	627
128	92	623
129	93	624
130	93	621
131	94	620
132	94	617
133	94	613
134	95	610
135	95	606
136	95	603
137	96	600
138	96	596
139	96	593
140	96	590
141	97	586
142	97	583
143	97	580
144	97	577
145	98	574
146	98	571
147	99	570
148	99	567
149	99	565
150	100	562
151	100	559
152	100	556
153	100	554
154	101	551
155	101	549
156	102	548
157	102	547
158	103	547
159	103	545
160	104	542
161	104	540
162	104	538
163	105	536
164	105	534
165	105	532
166	106	530
167	106	528
168	106	525
169	108	530
170	109	529
171	109	528
172	110	528
173	111	527
174	111	525
175	111	523
176	112	521
177	112	520
178	113	518
179	113	516
180	113	514
181	113	511
182	115	514
183	115	512
184	115	510
185	116	508
186	116	506
187	116	504
188	117	502
189	117	500
190	117	498
191	117	496
192	118	494
193	118	492
194	118	490
195	119	488
196	119	486
197	119	484
198	119	482
199	120	480
200	120	478
201	120	477
202	121	475
203	121	473
204	122	473
205	123	475
206	123	474
207	124	472
208	124	470
209	124	470
210	125	468
211	125	467
212	127	469
213	127	468
214	127	466
215	128	464
216	128	463
217	128	461
218	128	459
219	129	458
220	129	456
221	129	454
222	130	453
223	130	451
224	130	449
225	130	448
226	131	446
227	131	444
228	131	443
229	132	441
230	132	440
231	132	438
232	132	437
233	133	437
234	134	436
235	134	435
236	134	433
237	135	432
238	135	431
239	135	430
240	136	428
241	137	429
242	137	429
243	138	429
244	138	428
245	139	426
246	139	426
247	140	424
248	140	423
249	140	421
250	141	420
251	141	419
252	141	417
253	141	416
254	142	415
255	142	414
256	143	413
257	143	412
258	143	410
259	143	409
260	144	408
261	144	407
262	144	405
263	145	404
264	145	403
265	145	402
266	146	401
267	146	400
268	147	399
269	148	401
270	148	400
271	149	398
272	149	397
273	149	396
274	149	395
275	150	393
276	150	392
277	150	391
278	151	390
279	151	389
280	152	391
281	153	390
282	153	389
283	154	388
284	154	387
285	154	386
286	155	385
287	155	384
288	155	383
289	156	382
290	156	381
291	156	380
292	157	379
293	157	378
294	157	377
295	158	375
296	158	374
297	158	373
298	158	372
299	159	371
300	159	370
301	159	369
302	160	368
303	160	367
304	161	367
305	161	366
306	161	365
307	162	364
308	163	364
309	163	363
310	163	362
311	163	361
312	164	360
313	164	359
314	164	358
315	165	357
316	167	361
317	168	361
318	169	360
319	169	360
320	170	359
321	171	360
322	171	359
323	171	358
324	173	359
325	173	359
326	174	359
327	175	359
328	176	359
329	176	358
330	177	358
331	177	358
332	178	357
333	180	359
334	186	369
335	186	368
336	186	367
337	187	366
338	187	366
339	188	365
340	188	364
341	188	363
342	189	363
343	190	362
344	190	361
345	190	360
346	191	359
347	191	358
348	191	357
349	192	356
350	192	355
351	192	354
352	192	353
353	193	352
354	193	351
355	194	351
356	195	351
357	195	350
358	196	350
359	196	350
360	198	351
361	199	351
362	200	351
363	200	350
364	200	349
365	201	348
366	201	348
367	202	347
368	202	346
369	202	345
370	203	345
371	206	349
372	207	348
373	207	347
374	207	346
375	208	345
376	208	344
377	208	343
378	208	342
379	209	341
380	209	340
381	209	339
382	210	338
383	210	337
384	210	336
385	210	335
386	211	334
387	211	333
388	211	332
389	212	331
390	212	330
391	212	329
392	212	328
393	213	328
394	213	327
395	213	326
396	214	325
397	214	324
398	214	323
399	215	322
400	215	322
401	216	321
402	216	320
403	216	319
404	217	319
405	218	319
406	218	318
407	218	317
408	218	316
409	219	315
410	219	314
411	219	313
412	220	313
413	221	313
414	221	312
415	221	311
416	222	310
417	222	309
418	222	308
419	222	307
420	223	306
421	223	306
422	223	305
423	223	304
424	226	305
425	226	305
426	226	304
427	226	303
428	227	302
429	227	301
430	227	300
431	228	299
432	228	299
433	228	298
434	229	297
435	229	296
436	230	296
437	230	296
438	231	295
439	231	294
440	231	293
441	232	293
442	233	293
443	233	292
444	235	293
445	235	292
446	235	291
447	236	290
448	236	290
449	236	289
450	236	288
451	237	288
452	238	287
453	238	286
454	238	285
455	239	285
456	239	284
457	239	283
458	240	282
459	240	282
460	240	281
461	240	280
462	241	279
463	241	279
464	241	278
465	245	281
466	245	280
467	246	279
468	246	279
469	247	279
470	247	278
471	248	277
472	249	278
473	250	277
474	250	276
475	251	276
476	251	275
477	251	274
478	252	274
479	252	273
480	253	273
481	253	272
482	253	271
483	254	271
484	254	270
485	254	269
486	255	268
487	255	267
488	255	267
489	255	266
490	256	265
491	256	264
